Mvir,Rvir,Xc,Yc,Zc,Menv
1584544117647.0586,253.24,13945.03042181,58258.59080932,16119.53708366,45383981907028.016
1573720588235.294,252.66,3337.182814,56181.97442091,22690.62428035,65579276511268.06
1570558823529.4116,252.49,29362.96268946,13873.17763793,39158.8378573,28103545944466.625
1569573529411.7646,204.75,16705.46698882,18462.16454974,6374.63674623,87545510221533.95
1569191176470.5881,252.42,5945.62899394,16184.2877168,9528.99973413,77708528019296.89
1567544117647.0586,252.33,54108.87125376,53455.45202521,47228.15047673,32502321053597.617
1567058823529.4116,252.31,43710.93408973,14307.03124654,3522.17923064,48085717991788.84
1561632352941.1763,252.01,31917.91868687,26221.48673576,12909.83535041,28320721694638.06
1558500000000.0,251.84,1032.28406869,57180.84174743,13999.85444931,46255795497885.5
1558352941176.4705,251.84,35964.43588585,24476.32030034,57236.7839361,80455933223397.17
1552661764705.8823,251.53,35135.4719678,21688.04251506,56718.0838732,79283405684195.73
1548411764705.8823,251.31,27793.78346748,56125.78290769,29987.37164332,38846534664372.83
1543632352941.1763,251.04,18957.40816896,20188.05488308,17139.09048984,52107569693368.71
1542176470588.235,250.96,51660.69703494,14354.82108241,24055.0376404,102569778576357.72
1539970588235.294,250.85,6676.59422089,10823.32362424,41163.53088032,62213052383610.71
1538588235294.1174,250.77,56499.12138224,3113.89329641,40104.03410443,87617619357333.06
1538044117647.0586,250.74,50728.82710765,19051.39545231,54519.84336887,102372680271840.14
1537808823529.4116,250.73,38212.32013143,15797.06393733,7157.59313376,32440014989854.86
1536250000000.0,250.64,11200.39726937,3232.60491151,7553.40498217,71333444157574.83
1533897058823.5293,250.51,6580.73556104,12297.24137372,23547.75978234,37786860279204.734
1533808823529.4116,250.51,16368.27936466,11946.88690707,22529.83650792,67609502160168.945
1532867647058.8235,250.48,47273.0102772,27311.66053329,26772.46194696,34245524063925.508
1532750000000.0,250.45,23443.10974143,57437.68517361,47541.03205734,26042285089079.71
1532529411764.7058,250.44,28369.3689136,26211.61011333,49884.70812364,64177955638905.33
1530676470588.235,250.34,57068.49199313,55567.4579231,42870.2924522,36139849913429.77
1528617647058.8235,250.23,22767.69673672,48431.64173497,27004.87302323,48855918970369.945
1523441176470.5881,249.94,28449.76188756,9463.24640652,6862.25455983,57113734663683.516
1523294117647.0586,249.94,55230.28077293,27179.71523431,21379.78490058,48725014967309.8
1521294117647.0586,249.83,58129.1194798,16835.91982081,13549.36463707,35998341625693.28
1516558823529.4116,249.59,17230.96660624,8988.48002898,14012.29587234,34310940717840.0
1515985294117.647,249.53,16450.49423362,14933.26612487,12814.37346715,57615105243180.87
1515632352941.1763,249.52,13235.99807507,23928.80133691,56963.81443889,30612991000429.758
1511117647058.8235,249.27,13594.90368885,28563.60253876,20774.82641981,30295074545833.098
1508970588235.294,249.15,22400.88813934,18022.57559358,56109.68743794,37473303363863.9
1508514705882.3528,249.13,38335.71572585,16942.26684436,56341.70524924,32778857232879.496
1507338235294.1174,249.06,14313.86535583,46711.66301437,21762.5359951,40893373692599.92
1503705882352.9412,248.86,4635.23655719,53838.74208658,25706.25435226,42719054472632.67
1502102941176.4705,248.78,57461.30510572,2172.2554126,26226.23152743,66898237439311.23
1493367647058.8235,248.29,53533.69213931,43066.76537544,53409.80678434,77163161440931.27
1492617647058.8235,248.24,8691.13899722,36033.45570015,14690.48093912,56013952517361.77
1491676470588.235,248.2,11820.51019171,25093.04250043,47004.20638357,31600202773642.87
1487588235294.1174,247.97,17349.8758426,6155.17085951,9366.71567798,55054736055694.17
1481352941176.4705,247.62,34849.81366788,41075.64686401,10347.46797396,34545224713955.926
1473691176470.5881,247.21,34309.70433612,28119.80229817,34114.78325665,43556675136678.22
1473235294117.647,247.16,34380.47740192,21973.25001741,56980.56785365,91495229222237.67
1472794117647.0588,247.14,58165.30431784,21180.9340311,22345.63206493,39945704118691.03
1471735294117.647,247.08,20024.03792475,25992.85474389,15018.3108153,65396435078370.91
1470750000000.0,247.02,4685.68176164,9075.93157042,37768.48374988,50998361516223.555
1469258823529.4116,246.95,46907.86499196,17712.6209691,53678.89972104,64711280462894.05
1468952941176.4705,246.92,49575.65121942,53742.26905033,41030.70585736,40840328704141.164
1467608823529.4116,246.85,57307.10876652,53294.34417608,43011.85418966,33364001661319.918
1464451470588.235,246.68,8925.19442677,10069.10362762,48935.26437616,60324570673216.914
1463555882352.9412,246.62,9439.82460887,28360.55315821,22679.95260052,51275156911353.086
1462048529411.7646,246.54,1994.65723349,29781.93380515,1018.66858957,50816721902256.38
1453870588235.294,246.08,50680.23900034,24371.49549484,1231.07177092,50435768866528.125
1448686764705.8823,245.81,18027.67565432,39703.67584028,139.60735161,30864618893260.773
1448663235294.1174,245.78,6449.86673201,40059.14295122,44342.98008617,50089857100385.92
1443195588235.294,245.47,39772.16505461,8986.28423434,35969.34909741,28323172462652.15
1442536764705.8823,245.44,35098.05520183,20410.43451524,34439.15658106,50412722221164.88
1442513235294.1174,245.43,49796.20009512,18045.17111968,55416.65693601,92734186713667.11
1434854411764.7058,245.0,6025.99034612,27725.5135942,6560.08655821,48621870625024.586
1431767647058.8235,244.87,10560.88829466,26306.63089134,6585.76037665,31121336842736.426
1430282352941.1763,244.74,32431.3532002,4300.41972088,6040.83974913,32007737216293.13
1429316176470.5881,244.69,3857.65032884,14145.1446445,8610.12643242,55657507161774.39
1424673529411.7646,244.42,30900.44285501,19861.58214029,634.07486779,58387073602541.37
1423119117647.0588,244.33,56966.69418199,4552.81615604,37462.15025413,88510971428622.06
1415836764705.8823,243.91,32865.05969817,15394.13329174,24785.17106446,43416510058334.07
1411925000000.0,243.69,29088.29728201,31742.46389199,10588.34646892,88927177819629.89
1409827941176.4705,243.57,51636.62703783,4735.74549226,25700.35957272,34363396579372.29
1409663235294.1174,243.56,13382.16421954,20703.62190854,23729.19129537,56836727182860.46
1404997058823.5293,243.29,5431.48681798,47191.13857399,27516.04516389,34242484168984.957
1404148529411.7646,243.25,31126.69822091,8241.72411262,54995.23339108,49995879573076.49
1403654411764.7058,243.21,29168.29939445,14240.76749365,5345.99598289,65052125737468.68
1402994117647.0588,243.17,32570.60145489,10340.33279007,4343.65664514,53570725327933.05
1401769117647.0588,243.1,26278.81718199,43990.41832723,24744.03942753,44989761732915.82
1397644117647.0588,242.87,23162.95133206,57851.65272167,22852.12116105,43492130390614.9
1397644117647.0588,242.86,41276.74642063,14881.42635456,16742.84159224,53991220562965.51
1397008823529.4116,242.83,15448.24227236,13607.59285415,19359.93279979,73247988843195.38
1396607352941.1763,242.82,47653.61282407,54162.1624651,16879.68271276,24995500801062.637
1386122058823.5293,242.19,8576.72032155,27640.81102308,17764.81353922,76831930717796.52
1385485294117.647,242.15,29052.11122764,42192.33590042,35365.82724429,39590130670954.83
1382586764705.8823,241.99,36862.42965707,19320.49947773,21206.07625733,31946303060401.54
1382422058823.5293,241.98,22805.46627304,48036.95284168,8461.3068078,27999553259407.316
1382091176470.5881,241.96,49938.60902031,46272.57242265,12031.59707583,28151383050895.44
1381148529411.7646,241.91,1210.6781259,27780.76331054,49140.70063109,48815929034601.61
1380372058823.5293,241.86,30155.64076542,34550.68358108,35976.37056746,31837668055161.703
1380111764705.8823,241.84,57552.05396506,20461.56956843,22872.24978805,47198351450072.71
1379405882352.9412,241.8,50963.9713192,42311.96518421,53153.64112139,71866368375253.56
1378226470588.235,241.73,25831.03488266,51341.74339036,36428.29378049,40679614878601.97
1376270588235.294,241.62,50013.92864323,6684.57375112,26630.79732446,39449258640298.92
1375517647058.8235,241.57,28406.52928488,47915.91910847,25731.11324193,60083099328598.12
1374951470588.235,241.54,15196.85856887,54612.10857399,20415.29350884,39516018503605.74
1374457352941.1763,236.5,24265.09313243,29842.38917759,13746.48505054,55303818920202.875
1373585294117.647,241.48,47911.60633633,26885.39372511,16884.2562213,40269181931473.51
1370827941176.4705,241.3,29560.72104737,31009.03051281,17028.93539795,31655557139653.363
1370426470588.235,241.28,19689.52698112,45668.99442434,32003.58890057,40698325549786.445
1360907352941.1763,240.72,39945.98356215,38147.40252641,24420.49803883,24506384061635.73
1360482352941.1763,204.27,54110.26808877,21153.32159946,22874.20894638,51501405216192.06
1359492647058.8235,240.63,52854.8587843,20836.76748162,51495.2574124,95199046643835.58
1358998529411.7646,240.61,13553.98058725,4618.29741657,8767.46493325,85292193988119.95
1356123529411.7646,240.44,54234.80990437,36790.18314484,4380.50864787,66490278825273.91
1352823529411.7646,240.24,57551.36730301,4271.15476767,39261.48261053,94668196152938.0
1352070588235.294,240.19,14076.88504197,52956.14706367,29524.7073075,69369177159360.79
1350232352941.1763,240.1,32305.03183188,17812.15264773,39776.70660872,47976988726240.77
1343469117647.0588,239.69,9632.82957985,4655.08155609,13471.57453898,32670340053024.953
1343091176470.5881,239.69,22283.67406801,56465.11125211,12917.37844166,40124775139258.82
1339414705882.3528,239.44,20904.15447199,56922.97015857,14712.60845205,40040011557079.27
1339297058823.5293,239.44,15488.27138216,12522.14228319,22059.5348825,75440483612721.31
1336022058823.5293,239.24,19272.38311542,23760.11586525,15365.06177031,56982924920931.6
1330389705882.3528,238.9,56849.81852208,16583.54619896,19174.23349885,93513931548456.9
1329447058823.5293,238.85,27588.06844281,58080.25347302,24948.47370399,51483990624245.805
1328386764705.8823,238.78,55343.69827493,18788.28586218,19019.66058993,68887153508128.49
1326266176470.5881,238.66,36625.65216842,22092.85242922,55836.56713496,68770812722690.516
1324876470588.235,238.57,16146.72348,36023.05591101,53565.35238223,38034505674012.85
1322660294117.647,238.44,27705.00900366,56798.02931909,36450.89038019,33050939612597.312
1321082352941.1763,238.35,23489.82577666,49895.53276195,22523.78718189,100109301750522.16
1318254411764.7058,238.17,23836.93462047,37923.75301017,23543.27126784,27538054790293.01
1316722058823.5293,238.1,42066.26090368,14117.38274493,726.67351517,41601669213748.234
1311538235294.1174,237.82,14346.27871639,12884.36633144,27576.04295915,65129254234681.26
1311019117647.0588,237.74,19712.20541121,29207.23200031,15218.116283,59774326123900.16
1309535294117.647,203.58,155.20295622,5697.68727587,39551.08816364,145220588585830.0
1308851470588.235,237.61,1203.62208906,4203.00715998,13128.8441518,61088526906377.5
1307036764705.8823,237.5,56289.83649787,44271.29567683,50096.15476578,68719016683315.86
1306589705882.3528,237.47,18170.630277,57025.48453331,10443.04211577,44306704409297.195
1306023529411.7646,237.45,57979.470893,38603.52334008,7312.58196272,54902222876971.35
1305976470588.235,237.44,25675.99666368,28764.49651821,18766.18464229,27669147313969.63
1305316176470.5881,237.39,51139.50409471,26732.36324503,26453.49852998,34900821726769.188
1301970588235.294,237.2,13179.04037555,6352.43832519,28230.97551658,63897931828218.78
1301711764705.8823,237.18,17603.31765509,54810.76178149,6510.97782215,32003542632576.715
1301004411764.7058,237.15,12635.17540836,22195.46678368,15517.05190643,35145922093254.984
1295348529411.7646,236.8,55515.05004307,24203.39876301,51664.69142553,73488211238730.06
1290800000000.0,236.51,19193.29136346,19189.42342746,48719.09895367,25401032212162.926
1286464705882.3528,236.25,23390.2771005,21026.06673092,57171.80841034,58022686815985.26
1286347058823.5293,236.24,31382.32785138,41160.91457641,11733.07338747,80945073527901.16
1282741176470.5881,236.02,29397.39172113,25557.10842516,55390.21613639,53524278561050.67
1282010294117.647,235.97,17.02722942,12431.11232004,11215.95630929,54367696234052.64
1279277941176.4705,235.8,14486.04403167,13591.33523186,20764.17878002,75199318614104.28
