Mvir,Rvir,Xc,Yc,Zc,isolated
1584544117647.0586,253.24,13945.03042181,58258.59080932,16119.53708366,True
1573720588235.294,252.66,3337.182814,56181.97442091,22690.62428035,True
1570558823529.4116,252.49,29362.96268946,13873.17763793,39158.8378573,True
1569573529411.7646,204.75,16705.46698882,18462.16454974,6374.63674623,False
1569191176470.5881,252.42,5945.62899394,16184.2877168,9528.99973413,True
1567544117647.0586,252.33,54108.87125376,53455.45202521,47228.15047673,True
1567058823529.4116,252.31,43710.93408973,14307.03124654,3522.17923064,True
1561632352941.1763,252.01,31917.91868687,26221.48673576,12909.83535041,True
1558500000000.0,251.84,1032.28406869,57180.84174743,13999.85444931,True
1558352941176.4705,251.84,35964.43588585,24476.32030034,57236.7839361,True
1552661764705.8823,251.53,35135.4719678,21688.04251506,56718.0838732,True
1548411764705.8823,251.31,27793.78346748,56125.78290769,29987.37164332,True
1543632352941.1763,251.04,18957.40816896,20188.05488308,17139.09048984,True
1542176470588.235,250.96,51660.69703494,14354.82108241,24055.0376404,True
1539970588235.294,250.85,6676.59422089,10823.32362424,41163.53088032,True
1538588235294.1174,250.77,56499.12138224,3113.89329641,40104.03410443,False
1538044117647.0586,250.74,50728.82710765,19051.39545231,54519.84336887,False
1537808823529.4116,250.73,38212.32013143,15797.06393733,7157.59313376,True
1536250000000.0,250.64,11200.39726937,3232.60491151,7553.40498217,True
1533897058823.5293,250.51,6580.73556104,12297.24137372,23547.75978234,True
1533808823529.4116,250.51,16368.27936466,11946.88690707,22529.83650792,True
1532867647058.8235,250.48,47273.0102772,27311.66053329,26772.46194696,True
1532750000000.0,250.45,23443.10974143,57437.68517361,47541.03205734,True
1532529411764.7058,250.44,28369.3689136,26211.61011333,49884.70812364,False
1530676470588.235,250.34,57068.49199313,55567.4579231,42870.2924522,True
1528617647058.8235,250.23,22767.69673672,48431.64173497,27004.87302323,True
1523441176470.5881,249.94,28449.76188756,9463.24640652,6862.25455983,True
1523294117647.0586,249.94,55230.28077293,27179.71523431,21379.78490058,True
1521294117647.0586,249.83,58129.1194798,16835.91982081,13549.36463707,True
1516558823529.4116,249.59,17230.96660624,8988.48002898,14012.29587234,True
1515985294117.647,249.53,16450.49423362,14933.26612487,12814.37346715,True
1515632352941.1763,249.52,13235.99807507,23928.80133691,56963.81443889,True
1511117647058.8235,249.27,13594.90368885,28563.60253876,20774.82641981,True
1508970588235.294,249.15,22400.88813934,18022.57559358,56109.68743794,True
1508514705882.3528,249.13,38335.71572585,16942.26684436,56341.70524924,True
1507338235294.1174,249.06,14313.86535583,46711.66301437,21762.5359951,True
1503705882352.9412,248.86,4635.23655719,53838.74208658,25706.25435226,True
1502102941176.4705,248.78,57461.30510572,2172.2554126,26226.23152743,True
1493367647058.8235,248.29,53533.69213931,43066.76537544,53409.80678434,False
1492617647058.8235,248.24,8691.13899722,36033.45570015,14690.48093912,True
1491676470588.235,248.2,11820.51019171,25093.04250043,47004.20638357,True
1487588235294.1174,247.97,17349.8758426,6155.17085951,9366.71567798,True
1481352941176.4705,247.62,34849.81366788,41075.64686401,10347.46797396,True
1473691176470.5881,247.21,34309.70433612,28119.80229817,34114.78325665,True
1473235294117.647,247.16,34380.47740192,21973.25001741,56980.56785365,False
1472794117647.0588,247.14,58165.30431784,21180.9340311,22345.63206493,True
1471735294117.647,247.08,20024.03792475,25992.85474389,15018.3108153,True
1470750000000.0,247.02,4685.68176164,9075.93157042,37768.48374988,True
1469258823529.4116,246.95,46907.86499196,17712.6209691,53678.89972104,True
1468952941176.4705,246.92,49575.65121942,53742.26905033,41030.70585736,True
1467608823529.4116,246.85,57307.10876652,53294.34417608,43011.85418966,True
